"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"RNeXML","RNeXML","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3.0",NA,"R (>= 3.0.0), ape (>= 3.1), methods (>= 3.0.0)","XML (>= 3.95), plyr (>= 1.8), reshape2 (>= 1.2.2), httr (>=
0.3), uuid (>= 0.1-1), dplyr (>= 0.5.0), lazyeval (>= 0.1.0),
tidyr (>= 0.3.1), stringr (>= 1.0), stringi, xml2",NA,"spelling, rdflib, geiger (>= 2.0), phytools (>= 0.3.93),
knitr (>= 1.5), rfigshare (>= 0.3.0), knitcitations (>= 1.0.1),
testthat (>= 0.10.0), rmarkdown (>= 0.3.3), rlang, xslt, covr,
taxadb",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"robustbase","robustbase","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.93-5",NA,"R (>= 3.1.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"Rook","Rook","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-1",NA,"R (>= 2.13.0)","utils, tools, methods, brew",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","6.1.1",NA,"R (>= 3.1)","brew, commonmark, desc (>= 1.2.0), digest, methods, pkgload
(>= 1.0.2), purrr, R6 (>= 2.1.2), Rcpp (>= 0.11.0), stringi,
stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, knitr, rmarkdown, testthat (>= 0.8.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3-2",NA,"R (>= 3.0.0)","backports",NA,"testthat, mockr, knitr, withr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"rrBLUP","rrBLUP","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.6",NA,"R (>= 2.14)","stats, graphics, grDevices",NA,"parallel",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"Rsamtools","Rsamtools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.0",NA,"methods, GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.31.8),
Biostrings (>= 2.47.6)","utils, BiocGenerics (>= 0.25.1), S4Vectors (>= 0.17.25),
IRanges (>= 2.13.12), XVector (>= 0.19.7), zlibbioc, bitops,
BiocParallel","Rhtslib (>= 1.15.3), S4Vectors, IRanges, XVector, Biostrings","GenomicAlignments, ShortRead (>= 1.19.10), GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, KEGG.db,
TxDb.Hsapiens.UCSC.hg18.knownGene, RNAseqData.HNRNPC.bam.chr14,
BSgenome.Hsapiens.UCSC.hg19, RUnit, BiocStyle",NA,"Artistic-2.0 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"Rsolnp","Rsolnp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.16",NA,"R (>= 2.10.0)","truncnorm, parallel, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"RSQLite","RSQLite","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.1.1), DBI (>= 1.0.0), memoise, methods,
pkgconfig, Rcpp (>= 0.12.7)","BH, plogr (>= 0.2.0), Rcpp","DBItest, knitr, rmarkdown, testthat",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"rstan","rstan","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.19.2",NA,"R (>= 3.4.0), StanHeaders (> 2.18.1), ggplot2 (>= 2.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), loo (>= 2.0.0), pkgbuild","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>= 1.69.0),
StanHeaders (> 2.18.1)","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.66), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"rstantools","rstantools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.1",NA,NA,"stats, utils",NA,"bayesplot (>= 1.5.0), rstan (>= 2.17.2), rstanarm (>=
2.17.4), shinystan (>= 2.4.0), loo (>= 2.0.0), testthat, covr,
knitr, devtools, roxygen2 (>= 6.0.1), rmarkdown, rstudioapi,
usethis (>= 1.3.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.10",NA,NA,NA,NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"rsvg","rsvg","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3",NA,NA,NA,NA,"spelling, svglite, png, jpeg, webp, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"rvcheck","rvcheck","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.3",NA,"R (>= 3.4.0)","utils, rlang",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.4",NA,"R (>= 3.2), xml2","httr (>= 0.5), magrittr, selectr",NA,"covr, knitr, png, rmarkdown, spelling, stringi (>= 0.3.1),
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"rworldmap","rworldmap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3-6",NA,"R (>= 2.10.0), sp","maptools, fields, methods",NA,"rgdal, rworldxtra, RColorBrewer, classInt",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"S4Vectors","S4Vectors","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.22.0",NA,"R (>= 3.3.0), methods, utils, stats, stats4, BiocGenerics (>=
0.23.3)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.5-1",NA,"R (>= 2.10.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.0"
"satellite","satellite","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"scales","scales","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0",NA,"R (>= 3.1)","labeling, munsell (>= 0.5), R6, RColorBrewer, Rcpp,
viridisLite","Rcpp","dichromat, bit64, covr, hms, testthat (>= 2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"scatterpie","scatterpie","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.2",NA,"R (>= 3.4.0), ggplot2","ggforce, rlang, rvcheck (>= 0.1.0), tidyr, utils",NA,"knitr, prettydoc, maps",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"scatterplot3d","scatterplot3d","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"SDMTools","SDMTools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-221.1",NA,NA,"R.utils",NA,"adehabitat, raster, sp",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"segmented","segmented","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-0",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-1",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","3.6.0"
"SeqArray","SeqArray","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.24.1",NA,"R (>= 3.5.0), gdsfmt (>= 1.18.0)","methods, parallel, IRanges, GenomicRanges, GenomeInfoDb,
Biostrings, S4Vectors","gdsfmt","Biobase, BiocGenerics, BiocParallel, RUnit, Rcpp, SNPRelate,
digest, crayon, knitr, Rsamtools, VariantAnnotation",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"seqinr","seqinr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.4-5",NA,"R (>= 2.10.0)","ade4,segmented",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"SeqVarTools","SeqVarTools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.22.0",NA,"SeqArray","grDevices, graphics, stats, methods, Biobase, gdsfmt,
GenomicRanges, IRanges, S4Vectors, GWASExactHW, logistf,
Matrix, dplyr, rlang, tidyr",NA,"BiocGenerics, BiocStyle, RUnit, stringr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"session","session","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.0"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"sf","sf","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7-5",NA,"methods, R (>= 3.3.0)","classInt (>= 0.2-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), stats, tools, units (>= 0.6-0),
utils","Rcpp","blob, covr, dplyr (>= 0.8-0), ggplot2, knitr, lwgeom (>=
0.1-5), maps, maptools, mapview, microbenchmark, odbc, pillar,
pool, raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>=
1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat, stars
(>= 0.2-0), testthat, tibble (>= 1.4.1), tidyr (>= 0.7-2),
tidyselect, tmap (>= 2.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"shape","shape","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.4",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.2",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.0), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest, htmltools (>= 0.3.6), R6 (>= 2.0),
sourcetools, later (>= 0.7.2), promises (>= 1.0.1), tools,
crayon, rlang",NA,"datasets, Cairo (>= 1.5-5), testthat, knitr (>= 1.6),
markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0), magrittr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"shinyFiles","shinyFiles","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7.3",NA,NA,"htmltools, jsonlite, tools, shiny (>= 1.1.0), fs (>= 1.2.6),
tibble (>= 1.4.2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"shinyjs","shinyjs","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, testthat (>= 0.9.1), V8
(>= 0.6)",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.0"
"ShortRead","ShortRead","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.42.0",NA,"BiocGenerics (>= 0.23.3), BiocParallel, Biostrings (>=
2.47.6), Rsamtools (>= 1.31.2), GenomicAlignments (>= 1.15.6)","Biobase, S4Vectors (>= 0.17.25), IRanges (>= 2.13.12),
GenomeInfoDb (>= 1.15.2), GenomicRanges (>= 1.31.8), hwriter,
methods, zlibbioc, lattice, latticeExtra,","S4Vectors, IRanges, XVector, Biostrings","BiocStyle, RUnit, biomaRt, GenomicFeatures, yeastNagalakshmi",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"simpleboot","simpleboot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-7",NA,"R (>= 2.14.0)","boot, stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"sjlabelled","sjlabelled","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.0",NA,"R (>= 3.2), stats","haven (>= 1.1.2), insight, magrittr, purrr, rlang, tidyselect,
utils",NA,"dplyr, sjmisc, sjPlot, knitr, rmarkdown, snakecase, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"sjmisc","sjmisc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.8.1",NA,"R (>= 3.2), stats, utils","dplyr (>= 0.8.0), insight (>= 0.3.0), magrittr, methods,
purrr, rlang, sjlabelled (>= 1.1.0)",NA,"ggplot2, graphics, haven (>= 1.1.2), mice, sjPlot, sjstats,
knitr, rmarkdown, stringdist, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"sjPlot","sjPlot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.6.3",NA,"R (>= 3.2), graphics, grDevices, stats, utils","bayestestR, broom, dplyr (>= 0.7.5), forcats, ggeffects (>=
0.7.0), glmmTMB, ggplot2 (>= 2.2.1), knitr, insight, lme4 (>=
1.1-12), magrittr, MASS, modelr, nlme, performance, psych,
purrr, rlang, scales, sjlabelled (>= 1.0.14), sjmisc (>=
2.7.6), sjstats (>= 0.17.2), tidyr (>= 0.7.0)",NA,"brms, car, cluster, cowplot, GPArotation, gridExtra, ggrepel,
ggridges, pscl, rstanarm, survey, TMB, Zelig, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"sjstats","sjstats","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.17.5",NA,"R (>= 3.2), stats, utils","bayestestR (>= 0.2.0), broom, dplyr, emmeans, insight (>=
0.3.0), lme4, magrittr, MASS, modelr, performance (>= 0.2.0),
purrr, rlang, sjlabelled (>= 1.0.17), sjmisc (>= 2.7.8), tidyr",NA,"brms, car, coin, ggplot2, graphics, httr, knitr, mediation,
nlme, pbkrtest (>= 0.4-7), pwr, sandwich, sjPlot, survey,
rstan, rstanarm, VGAM, Zelig, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"smooth","smooth","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.5.2",NA,"R (>= 3.0.2), greybox (>= 0.5.0)","Rcpp (>= 0.12.3), stats, graphics, forecast (>= 7.0), nloptr,
utils, zoo","Rcpp, RcppArmadillo (>= 0.8.100.0.0)","Mcomp, numDeriv, testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"snow","snow","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-3",NA,"R (>= 2.13.1), utils",NA,NA,"Rmpi,rlecuyer,nws",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"SNPassoc","SNPassoc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.9-2",NA,"R (>= 3.0.0), haplo.stats, survival, mvtnorm, parallel",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"SNPRelate","SNPRelate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.18.1",NA,"R (>= 2.15), gdsfmt (>= 1.8.3)","methods","gdsfmt","parallel, Matrix, RUnit, knitr, MASS, BiocGenerics","SeqArray (>= 1.12.0)","GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3-1",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 0.8-7), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"spacetime","spacetime","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2-2",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes, diveMove, foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, RPostgreSQL, knitr, googleVis, ISOcodes",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"spam","spam","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.2-2",NA,"R (>= 3.1), dotCall64, grid, methods",NA,NA,"spam64, fields, SparseM, Matrix, testthat, R.rsp, truncdist,
knitr, rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.77",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","7.3-11","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"spatstat","spatstat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.60-1",NA,"R (>= 3.3.0), spatstat.data (>= 1.4-0), stats, graphics,
grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 1.13-0), mgcv, Matrix, deldir (>= 0.0-21),
abind, tensor, polyclip (>= 1.10-0), goftest",NA,"sm, maptools, gsl, locfit, spatial, rpanel, tkrplot,
RandomFields (>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1),
fftwtools (>= 0.9-8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"spatstat.data","spatstat.data","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-0",NA,"R (>= 3.3.0)","spatstat.utils",NA,"spatstat (>= 1.55-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"spatstat.utils","spatstat.utils","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.13-0",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"spData","spData","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.0",NA,"R (>= 3.3.0)",NA,NA,"foreign, maptools, raster, rgdal, sf, sp, spDataLarge (>=
0.3.0), spdep",NA,"CC0",NA,NA,NA,NA,"no","3.6.0"
"spdep","spdep","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-2",NA,"R (>= 3.3.0), methods, sp (>= 1.0), spData (>= 0.2.6.0), sf","deldir, boot (>= 1.3-1), graphics, grDevices, utils, stats,
Matrix, LearnBayes, MASS, coda, expm, gmodels, nlme",NA,"spatialreg (>= 1.1-1), parallel, RANN, rgeos, RColorBrewer,
lattice, xtable, maptools (>= 0.5-4), foreign, igraph,
RSpectra, knitr, rgdal, classInt, tmap, spam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"splines","splines","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"stabledist","stabledist","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7-1",NA,"R (>= 3.1.0)","stats",NA,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"StAMPP","StAMPP","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.1",NA,"R (>= 2.14.0), pegas","parallel, doParallel, foreach, adegenet, methods, utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"StanHeaders","StanHeaders","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.18.1-10",NA,"R (>= 3.4.0)",NA,NA,"Rcpp, RcppEigen, BH, knitr (>= 1.15.1), rmarkdown, Matrix,
methods, rstan",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"starmie","starmie","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.2",NA,"R (>= 3.3.0)","data.table, readr (>= 1.0.0), stringr, tidyr, purrr, ggplot2
(>= 2.1.0), iterpc, combinat, label.switching, proxy, MCL,
gridExtra, ggdendro, ggrepel, MCMCpack, parallel, methods,
stats",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 3.6.0",NA,NA,NA,NA,NA,"3.6.0"
"stencila","stencila","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.29.1",NA,NA,"base64enc, CodeDepends, DBI, evaluate, httpuv, jose, jsonlite,
mime, methods, R6, stringr, tools, urltools, uuid",NA,"covr, devtools, lintr, testthat",NA,"Apache-2.0",NA,NA,NA,NA,"no","3.6.0"
"strataG","strataG","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.2",NA,"R (>= 3.2.0), apex, ape, adegenet","data.table, copula, DT, ggplot2, graphics, grid, gridExtra,
Hmisc, methods, pegas, phangorn, RColorBrewer, Rcpp, shiny,
shinyFiles, stats, survival (>= 2.40.1), swfscMisc, utils","Rcpp","knitr, rmarkdown, testthat",NA,"GNU General Public License",NA,NA,NA,NA,"yes","3.6.0"
"stringdist","stringdist","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9.5.2",NA,"R (>= 2.15.3)","parallel",NA,"tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.3",NA,"R (>= 2.14)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","3.6.0"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"SummarizedExperiment","SummarizedExperiment","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.14.0",NA,"R (>= 3.2), methods, GenomicRanges (>= 1.33.6), Biobase,
DelayedArray (>= 0.3.20)","utils, stats, tools, Matrix, BiocGenerics (>= 0.15.3),
S4Vectors (>= 0.17.25), IRanges (>= 2.13.16), GenomeInfoDb (>=
1.13.1)",NA,"annotate, AnnotationDbi, hgu95av2.db, GenomicFeatures,
TxDb.Hsapiens.UCSC.hg19.knownGene, BiocStyle, knitr, rmarkdown,
digest, jsonlite, rhdf5, HDF5Array (>= 1.7.5), airway, RUnit,
testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"survival","survival","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.44-1.1","recommended","R (>= 2.13.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"svglite","svglite","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.2",NA,"R (>= 3.0.0)","Rcpp, gdtools (>= 0.1.6)","Rcpp, gdtools, BH","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"swfscMisc","swfscMisc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2",NA,"R (>= 3.2.3), mapdata","graphics, grDevices, ggplot2, maps, reshape2, spatstat, stats,
utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"sys","sys","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.2",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"utils",NA,NA,NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"tensor","tensor","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.0"
"tensorA","tensorA","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.36.1",NA,"R (>= 2.2.0),stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.1",NA,"R (>= 3.1)","cli, crayon (>= 1.3.4), digest, magrittr, methods, praise, R6
(>= 2.2.0), rlang (>= 0.3.0), withr (>= 2.0.0)",NA,"covr, curl (>= 0.9.5), devtools, knitr, rmarkdown, usethis,
vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"TH.data","TH.data","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-10",NA,"R (>= 2.10.0), survival, MASS",NA,NA,"dplyr, gdata, plyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
